bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,price
3,1.0,1068,4153,2.0,0,1,4,8,1928,0,47.1509708287049,-122.07179838724163,773869
3,1.5,3822,5262,3.0,0,1,5,7,1921,2003,47.34380959217033,-122.2614294760543,1356423
3,2.0,4577,857,1.5,0,1,3,9,1972,0,47.616240960316304,-121.74087874045398,1626242
5,4.0,1716,6847,2.5,0,1,2,8,1987,0,47.55854131213841,-121.62726951593964,1149764
5,2.0,973,1724,1.0,1,0,4,8,2005,0,47.23597018500363,-122.21866425919359,1201693
2,2.5,5156,27201,1.0,0,0,3,10,1918,0,47.3493420513568,-122.40478192093059,1627715
4,2.0,4012,8299,1.0,0,0,1,5,1937,0,47.28441038524128,-122.24657203800861,1222341
3,2.5,2538,3294,1.5,0,0,3,10,1994,1990,47.52935911883329,-122.39599151094109,1380726
3,2.0,1204,2332,3.0,0,2,3,10,1938,1999,47.34119776062114,-122.17757783388655,1054015
3,2.0,1764,4425,1.0,0,0,4,8,1914,0,47.316337969400244,-121.96180142167817,872309
3,2.5,1668,9070,2.0,1,3,3,8,1953,0,47.24516458630544,-121.5263190456018,1215830
6,1.0,2133,4791,2.0,0,4,3,7,1931,0,47.386318984640255,-122.10062974564865,1181425
3,1.0,3734,3955,3.0,0,4,4,13,2014,0,47.23685181313759,-122.27996007614539,1894462
4,2.0,2806,5210,1.0,0,4,4,6,2009,2023,47.77379871116434,-122.33319825962917,1515604
4,1.0,1055,2686,1.0,0,0,5,8,2011,2002,47.20815126804671,-122.32696023386133,1037983
3,1.5,3598,3486,1.0,0,1,2,9,1945,2021,47.73931330047114,-122.30740231673855,1458094
6,2.0,2114,610,2.0,0,0,5,11,1960,1993,47.39993116870961,-121.73773297746256,1228109
6,3.0,2549,13013,1.5,0,3,4,9,1992,0,47.3645061940932,-122.43897228856758,1467409
3,2.5,3764,6626,2.5,0,3,4,9,2020,0,47.261923860633395,-121.50259729305697,1638009
4,2.5,1037,2267,2.0,0,3,3,6,1951,0,47.54502943405726,-121.97731360883374,982392
3,2.0,1775,32818,2.0,0,1,4,8,1933,0,47.579869610507586,-121.95572810569918,1075761
3,3.5,1386,5361,2.0,0,2,5,6,1972,2007,47.42729967357669,-122.14243612130039,1000594
2,2.0,825,1743,1.0,0,0,5,10,1934,0,47.138994826985396,-121.80974464058788,712546
4,1.5,2150,11576,2.0,0,0,3,9,1969,0,47.742957105481985,-122.02854365911921,1245292
4,2.5,6347,7317,3.0,0,2,3,9,1936,2001,47.78623039301346,-122.17093871503545,2055421
2,1.5,720,7292,2.5,0,1,4,9,1977,2009,47.40173039064828,-122.23486159629196,944182
3,2.0,1779,3210,2.5,0,4,5,8,1960,0,47.52956256518653,-121.57434879306675,1270383
6,2.5,2490,7711,2.5,0,0,3,6,2010,1991,47.41520903837062,-122.20901048494758,1301844
3,3.5,1922,3782,1.0,0,3,4,7,2013,0,47.32531575562029,-122.06360674057015,1244158
3,2.5,1708,8569,1.0,0,1,4,6,1948,0,47.15412315500047,-122.14965859788353,877057
4,3.0,944,731,1.0,0,3,4,9,1908,0,47.41924741127811,-122.41382117257196,1000500
6,4.0,2031,3184,1.5,0,3,4,6,1918,0,47.67286918945162,-122.31406560551773,1274168
3,1.5,1238,27505,1.0,0,3,3,9,1986,1986,47.111922022761604,-122.31049802467362,1023217
4,2.0,604,2282,2.0,0,0,5,9,2020,0,47.507475378226154,-121.80635048561035,1007860
5,2.0,3285,2686,2.0,0,4,4,8,2004,1998,47.71654047610868,-122.09341459003419,1714690
3,2.0,2919,3140,2.5,0,0,4,6,1927,2013,47.252284601010054,-121.71803243692933,1014582
4,2.0,1855,1458,2.0,0,0,3,7,1979,0,47.22827910528235,-121.79104907566584,955646
3,3.5,2027,540,3.0,0,1,4,7,1925,1997,47.64059363799136,-122.30795023360396,1170788
4,3.0,3093,3902,1.0,0,3,3,9,1937,0,47.2785605017835,-121.9370830798799,1476654
4,2.5,2022,5629,1.0,1,1,3,6,1939,0,47.234388987292455,-121.7570911539512,1132218
4,2.0,2841,4663,2.0,0,3,4,10,1924,1989,47.36459247539847,-121.86695707652427,1311958
2,3.0,1558,4251,1.5,0,2,4,9,1998,1985,47.374751408589155,-121.89998349191202,1059599
5,4.0,3484,5130,1.5,0,0,4,7,2017,0,47.71187074411159,-121.76038911259923,1554593
3,3.0,2122,13668,1.5,0,4,3,9,1968,2016,47.532910430353574,-122.44321926074369,1359375
3,1.0,1992,4062,1.5,0,0,4,9,1970,0,47.38417301943771,-121.76857805263857,992605
2,2.5,958,2768,2.0,0,3,3,9,1922,2023,47.47407157500004,-122.22734473684658,910974
4,1.5,2086,3710,2.0,0,0,4,7,1988,0,47.76777566332769,-121.92812774549064,1125925
4,2.0,1192,8772,2.0,0,1,3,6,1964,0,47.17925027362693,-122.25769500530349,866104
2,1.5,1314,20171,2.0,0,1,4,7,1921,0,47.24540086520729,-121.66118242779316,749334
4,2.5,1202,2622,1.5,0,0,4,7,1963,0,47.77377009461058,-122.01944064569925,996330
3,2.5,1060,5425,1.5,0,0,3,9,2016,1984,47.77012739396904,-121.85705878797502,1013508
4,1.5,5231,6893,1.0,1,0,3,9,1967,1993,47.22401579488534,-121.70591795652327,1826726
3,2.0,3518,1821,1.5,0,0,4,11,1957,0,47.20157617198771,-121.60468474492863,1326888
4,2.5,4722,5016,2.0,0,0,4,5,1927,0,47.39475959403703,-121.76793790293065,1408765
3,2.0,980,1134,2.0,0,1,4,4,2011,0,47.13480280474158,-122.3512314238096,790462
6,1.5,1873,837,2.0,0,2,4,9,2022,0,47.5584324725996,-121.64546763041422,1287694
3,2.0,946,7092,1.0,0,1,3,7,1977,1992,47.154247215163224,-121.8814220841345,732273
3,3.0,1276,3348,2.0,0,3,3,7,1996,2003,47.140620738966,-121.89055024161972,960485
3,1.5,1142,6016,2.0,0,1,3,8,1967,2020,47.439630855346195,-121.57865944019508,821259
6,1.5,3360,4827,2.0,0,2,3,6,2005,0,47.770450645277066,-122.25116844433411,1555621
5,2.0,1483,1851,2.0,1,2,4,9,1974,0,47.39875715524421,-122.26041238150597,1426057
3,3.5,3084,4697,2.0,0,1,2,7,2002,1981,47.349536811062386,-121.98680644530504,1335236
4,2.5,2445,1432,2.0,0,2,5,9,1995,2016,47.798569700851594,-121.74913693346514,1417265
5,2.5,5720,19751,2.0,0,0,4,10,1903,1987,47.47237827254543,-122.0527592917715,1765740
4,2.0,862,1266,1.0,1,3,5,7,1900,0,47.36266898482317,-121.8661086101076,1028535
4,2.5,3393,4040,2.0,0,2,5,11,1925,0,47.370102569339124,-122.04747527577729,1388631
3,1.0,3207,1733,1.0,0,0,3,8,1932,1990,47.23647164722346,-121.88961281951303,1117673
2,2.5,1111,8694,1.0,0,2,4,11,1980,1994,47.458556140213275,-121.67773769738629,1043567
5,3.5,2991,3528,3.0,0,0,3,7,1926,2010,47.4071985197176,-122.31952330390908,1171313
6,2.5,2138,2925,3.0,0,0,2,8,1941,0,47.28955670744319,-121.80462146599402,1054925
4,3.5,1613,11535,1.0,0,0,4,8,1968,2019,47.21237806062123,-121.71257426066181,961898
3,3.0,1197,5061,2.0,0,2,2,9,1970,0,47.31786720806729,-122.05288859251822,1041394
3,1.5,1261,8239,1.0,0,2,5,8,1963,2022,47.45607832938141,-122.17676642293215,1069736
4,3.5,5038,1842,2.0,0,3,4,8,1924,2010,47.14083329059936,-122.4864556760756,1662840
5,1.5,1808,1206,2.5,0,0,4,11,1971,1990,47.20762082000877,-121.7028949776659,1119184
5,2.5,2673,5470,3.0,0,1,3,8,1997,1998,47.763360086878365,-122.172061340964,1375821
5,1.5,1217,3572,2.0,0,2,4,7,2004,0,47.479998745721936,-122.14269053059195,1100104
4,1.0,1224,9195,1.5,0,0,2,8,1903,0,47.14441451256203,-122.16399383690118,671074
2,2.0,3105,4537,2.0,1,1,4,9,1911,0,47.5851614311387,-122.00126066918766,1467806
3,2.0,920,6033,1.5,0,0,3,8,1957,0,47.14326200905533,-121.79750042678093,783506
5,2.5,1469,969,3.0,0,0,4,8,1994,0,47.61721195893246,-121.72813686899948,1129366
4,2.5,1839,32481,2.5,0,1,3,12,1910,0,47.624973905204016,-122.10742927959684,1136720
2,1.0,1911,4170,2.0,0,2,2,9,2000,2010,47.555755283024475,-121.83689796495483,1088068
3,1.5,1653,9873,1.5,0,0,4,6,2007,0,47.61254318123354,-121.77931574972868,1132411
4,2.5,2203,2130,1.5,0,0,3,7,1958,1994,47.16157604670914,-122.20308266832262,1005131
2,2.0,2556,6687,1.0,0,0,4,12,2016,1990,47.60874638664868,-122.4033785304629,1460408
3,3.0,2610,1335,2.5,0,0,3,9,1935,0,47.195681823806716,-121.60533427935553,1097127
4,2.5,1104,7723,2.0,0,0,3,11,2008,0,47.33765413509029,-121.82288402821841,978093
4,3.0,1568,3442,1.5,0,0,4,7,1921,0,47.75992167745044,-121.85188959112371,1074350
4,2.5,3285,5060,2.0,0,2,3,9,1964,2004,47.4520128343614,-122.44109748478802,1468675
3,2.0,2827,9877,2.5,0,1,3,9,1949,1983,47.777198502458106,-121.68212694249607,1323083
4,2.5,910,1432,1.0,0,2,4,7,1903,0,47.162245721220714,-121.93394584391395,722120
3,2.0,2155,2478,2.5,0,2,3,8,1999,2006,47.434289619694226,-121.65211558268243,1095286
3,2.0,672,7764,2.5,0,0,2,9,1971,0,47.14368162419381,-121.52543881626323,688803
4,3.0,1850,40063,3.0,0,0,3,8,1988,1994,47.5411471836795,-121.54289967911976,1140168
4,2.0,4669,4280,1.5,0,3,3,10,1991,0,47.15509490095796,-121.6439106536098,1543114
5,3.0,1125,8876,1.0,0,0,4,10,1951,1997,47.222757461778265,-122.48905262616863,991898
4,3.0,1191,4416,1.5,0,0,3,10,2001,2016,47.2811812170485,-121.61427279176304,1064769
4,3.5,2649,34277,1.5,0,0,4,10,1999,1999,47.624120696165136,-122.42493768617236,1543178
2,3.5,835,856,1.0,0,1,2,8,1999,0,47.21477348317265,-121.64880602982323,860752
3,2.0,1317,5402,2.0,0,1,3,8,2023,0,47.692642437305146,-122.21982593138837,1240370
3,2.0,2436,967,2.0,0,4,3,10,1942,2005,47.19233275718156,-121.88993166146663,1247062
3,2.5,1316,400,2.5,0,3,4,8,2023,0,47.12467111434911,-122.46193176885012,1184444
6,2.0,1606,6617,1.0,0,1,5,7,2004,0,47.376531793278765,-121.72881830388177,1175169
3,2.5,2623,5650,2.0,0,0,4,8,1945,1996,47.7856091493799,-122.38829387776703,1304061
5,3.0,2232,3696,2.0,0,0,5,6,1903,0,47.17723955945215,-122.08931182832423,958499
4,2.5,2066,4419,2.0,0,0,3,9,1912,0,47.171202910827745,-121.6825539976747,948416
5,2.0,1526,108912,2.5,0,0,2,7,1937,2014,47.62581655755694,-121.80465100349167,893879
4,2.0,2175,3796,2.0,0,0,3,7,1944,0,47.318513185795496,-122.49395730314194,1140392
4,2.0,1699,8185,3.0,0,0,3,12,1924,0,47.602097132058,-122.09696766545746,1158561
4,1.5,2273,2567,1.5,1,0,3,9,1966,1996,47.24000741261035,-122.4580724830355,1346908
3,3.5,1410,6602,2.0,0,0,2,9,1954,2012,47.42205039593871,-121.82650013918153,950210
4,2.0,1650,3872,1.0,0,4,3,9,1995,0,47.28570291442424,-121.53105150824668,1083079
3,2.0,1102,3259,1.0,0,1,3,10,1938,1993,47.41606975041536,-121.84473873769925,920186
2,1.0,1776,30299,1.0,0,4,3,9,1964,2001,47.63836796480971,-122.27562756888244,1226594
4,2.5,1205,15949,1.0,0,0,3,8,1974,0,47.63340695833436,-122.14476696793346,1005901
3,2.5,1035,5634,1.5,0,1,5,12,1901,0,47.46104060137161,-121.52334944434153,833607
6,2.0,2057,490,1.0,0,0,3,7,1968,0,47.74986029060473,-122.27594758796765,1203021
6,1.5,2010,3425,1.0,0,0,4,11,2019,1999,47.28464887171379,-121.93847092694556,1279435
6,2.0,2674,73352,3.0,0,0,4,8,1985,2009,47.26821794578346,-122.09954619131825,1253117
3,2.0,1457,3902,1.0,0,4,3,8,1961,0,47.5296644808228,-121.73168470207177,1021904
2,2.5,2217,14812,2.0,0,4,3,6,1945,2006,47.53490792395175,-121.63261072802011,1107994
6,2.5,2381,20784,1.0,0,0,3,8,1976,2001,47.13257802769548,-122.15916272564971,1117451
3,2.0,2258,6117,3.0,0,0,4,8,2011,0,47.52544439867083,-121.83960363630062,1258108
6,2.0,1196,2117,2.5,0,1,3,13,1986,1993,47.36210531014431,-121.95095230248228,1262010
6,4.0,1948,430,2.0,0,0,3,12,2010,0,47.62320976772439,-122.22155550994457,1492982
5,2.5,2169,9741,2.0,0,0,3,12,1930,2017,47.66567396518169,-122.228059197187,1400637
3,2.5,1814,2176,1.0,0,0,5,7,1998,1980,47.48650767368292,-121.9613683524677,1108129
3,1.5,636,5861,3.0,0,1,3,13,2001,1986,47.10119352205159,-122.3459971264677,961213
5,2.5,1959,1408,2.5,0,0,4,8,2004,1991,47.545456067116646,-121.68919010351753,1254396
3,1.0,5465,3769,2.5,0,0,4,10,1934,1981,47.62421689576615,-122.4309951607996,1869320
3,2.5,1510,5083,2.0,0,0,5,7,1944,2009,47.27428828636206,-122.40542551379168,1005131
4,4.0,1256,6429,1.5,0,1,4,8,1976,1985,47.42525220079855,-122.15777369107273,1076129
6,2.0,2179,1611,2.5,0,4,4,12,1953,2014,47.77600863638825,-122.38190824180286,1551540
4,1.0,2113,16267,1.5,0,0,5,11,1970,1983,47.30868088737587,-122.02429997874451,1164074
4,1.0,3282,2705,2.0,0,3,4,9,1968,0,47.25620727572922,-122.10032410955813,1537491
2,2.0,963,921,1.0,0,3,3,9,2021,2015,47.24759835333461,-121.77819020411428,957503
4,2.0,2606,4407,3.0,0,4,3,7,1928,1992,47.4911605840478,-121.54699584479027,1225515
6,1.0,2428,5086,1.0,0,2,4,9,1971,1994,47.7648509709156,-121.74644141526088,1370834
3,3.0,1683,5770,1.0,0,2,4,8,1907,2022,47.526083090440245,-122.3205513371194,1135055
4,2.5,2141,19189,2.0,0,3,4,6,1953,0,47.31232618416636,-121.5644787145356,999250
5,2.0,3025,3879,2.0,0,0,4,6,1906,0,47.54699884464722,-122.10786656744693,1154304
4,3.5,2796,4360,2.0,0,1,4,6,1982,0,47.53738960831845,-122.02581063907309,1284965
4,1.5,1020,1630,1.0,0,4,3,9,2002,1987,47.51784759501076,-122.07842376262937,1145160
4,4.0,2724,11165,1.0,0,2,4,6,1922,2005,47.21159834482181,-122.21945297671228,1222549
3,2.0,1750,5909,2.0,0,4,3,8,1999,2020,47.54419675954149,-121.60495571220251,1151050
3,3.5,1875,3229,3.0,0,2,5,7,2005,0,47.40111511676015,-122.16776113410339,1274992
5,2.5,1875,731,2.5,0,3,4,8,1931,2003,47.11301444103613,-121.92140353032045,1061903
5,3.0,1677,20835,2.0,0,2,4,9,1961,2015,47.47783514100325,-122.25996641562567,1208515
5,4.0,3280,1439,3.0,1,2,3,9,1944,1993,47.79248672165289,-121.70262462522982,1749653
6,2.0,1733,2720,2.0,1,1,3,8,1967,0,47.344817713590786,-121.72580134047081,1319952
4,4.0,1033,7032,2.0,0,4,3,8,1929,1985,47.77589145282306,-122.20368786155295,1191003
4,2.0,1485,1485,2.0,0,3,4,8,2014,2021,47.16734401916382,-121.81844592685654,1115184
5,2.0,1977,1103,2.0,0,3,4,10,2005,2022,47.61271508110711,-121.79612646690505,1397463
